Stethoscope	ECG
-0.0115967	-0.198364
0.0314331	-0.201721
0.0201416	-0.195007
-0.0750732	-0.180664
-0.102844	-0.161438
-0.0222778	-0.140076
0.0985718	-0.118408
0.24292	-0.0982666
0.374451	-0.0817871
0.432129	-0.0695801
0.403442	-0.0610352
0.290222	-0.0546265
0.0888062	-0.050354
-0.162964	-0.0482178
-0.422363	-0.0473022
-0.621948	-0.0466919
-0.722046	-0.0457764
-0.727844	-0.045166
-0.590515	-0.0445557
-0.29541	-0.0445557
0.0802612	-0.0445557
0.457153	-0.0439453
0.760193	-0.0424194
0.898438	-0.0418091
0.824585	-0.0418091
0.591736	-0.0418091
0.276489	-0.039978
-0.0683594	-0.0378418
-0.369263	-0.0357056
-0.561829	-0.03479
-0.640564	-0.0344849
-0.622864	-0.0344849
-0.526733	-0.0341797
-0.357666	-0.0332642
-0.129395	-0.0314331
0.118408	-0.0296021
0.326233	-0.0286865
0.454407	-0.0286865
0.49469	-0.0280762
0.470276	-0.0262451
0.379639	-0.0241089
0.223389	-0.0219727
0.0415039	-0.0201416
-0.137329	-0.0189209
-0.279541	-0.0170898
-0.350342	-0.015564
-0.34729	-0.0152588
-0.282898	-0.0158691
-0.186462	-0.0167847
-0.0680542	-0.017395
0.0509644	-0.0167847
0.138245	-0.0158691
0.184937	-0.0146484
0.184021	-0.0131226
0.155334	-0.0112915
0.111084	-0.00946045
0.0570679	-0.00732422
0.0088501	-0.00549316
-0.039978	-0.00335693
-0.0848389	-0.00152588
-0.102234	-0.000305176
-0.102844	0.000305176
-0.0790405	0.000915527
-0.0344849	0.000610352
0.00305176	0.000305176
0.0271606	0.000915527
0.0341797	0.0012207
0.0238037	0.00183105
0.00640869	0.00213623
-0.0140381	0.00244141
-0.0137329	0.00305176
-0.0012207	0.00396729
0.00213623	0.00488281
0.00518799	0.00549316
0.00335693	0.00579834
0.00854492	0.00610352
0.0183105	0.00701904
0.012207	0.0088501
0.00732422	0.0109863
0.00213623	0.0128174
0.00457764	0.0143433
0.0256348	0.0158691
0.0283813	0.0167847
0.0192261	0.0180054
0.0183105	0.0192261
0.010376	0.0201416
0.00762939	0.020752
-0.00793457	0.0216675
-0.0271606	0.0222778
-0.0314331	0.0234985
-0.0460815	0.0247192
-0.0466919	0.0256348
-0.039978	0.0265503
-0.0390625	0.0280762
-0.0109863	0.0299072
0.0177002	0.0314331
0.0393677	0.032959
0.057373	0.0341797
0.0567627	0.0350952
0.0585938	0.0360107
0.0531006	0.0366211
0.0375366	0.0366211
0.0125122	0.0360107
-0.0317383	0.0350952
-0.065918	0.0338745
-0.0827026	0.032959
-0.0863647	0.0323486
-0.0616455	0.0314331
-0.0393677	0.0308228
-0.0186157	0.0305176
0.0201416	0.0311279
0.0360107	0.0314331
0.0323486	0.0320435
0.0265503	0.0332642
0.0219727	0.0344849
0.0262451	0.0350952
0.0250244	0.0350952
0.0189209	0.03479
0.00823975	0.0335693
-0.00762939	0.0320435
-0.00915527	0.0299072
-0.00518799	0.027771
-0.0088501	0.0244141
-0.00518799	0.020752
0.00427246	0.0177002
0.00976563	0.0149536
0.015564	0.0115967
0.00579834	0.00793457
-0.012207	0.00427246
-0.015564	0.000915527
-0.00366211	-0.00213623
0.0143433	-0.00488281
0.0219727	-0.00732422
0.0161743	-0.00946045
0.00427246	-0.0112915
-0.00793457	-0.0128174
-0.0213623	-0.0143433
-0.0271606	-0.0164795
-0.0292969	-0.0186157
-0.0253296	-0.0201416
-0.0256348	-0.0213623
-0.0247192	-0.0228882
-0.0180054	-0.0241089
-0.0125122	-0.0256348
0.00183105	-0.0268555
0.0262451	-0.0280762
0.0445557	-0.0280762
0.045166	-0.0274658
0.0350952	-0.0271606
0.0253296	-0.0268555
